4042,900000.0,15,1652081222,27,Vòng charm Thần Tài,1.35E7,2022-05-09T07:27:23.993Z
8721,500000.0,30,1652081247,3,Lắc Trầm Thần Tài,1.5E7,2022-05-09T07:27:40.042Z
7913,475000.0,60,1652083345,50,Vòng Thần Tài,2.85E7,2022-05-09T08:03:01.803Z
5127,600000.0,50,1652083767,1002,Vòng cầu duyên,3.0E7,2022-05-09T08:09:58.981Z
757,850000.0,27,1652084380,92651,Lắc tay đá,2.295E7,2022-05-09T08:20:11.693Z
6720,1000000.0,19,1652084546,14,Vòng Tourmaline,1.9E7,2022-05-09T08:23:23.509Z
5838,350000.0,44,1652084686,12,Vòng tay chữ Phúc,1.54E7,2022-05-09T08:25:20.222Z
981,1000000.0,22,1652084778,14,Vòng Tourmaline,2.2E7,2022-05-09T08:26:45.887Z
8408,850000.0,12,1652085154,92651,Lắc tay đá,1.02E7,2022-05-09T08:33:39.540Z
1371,600000.0,63,1652085375,36,Vòng trầm hương,3.78E7,2022-05-09T08:36:53.601Z
2310,350000.0,12,1652085489,12,Vòng tay chữ Phúc,4200000.0,2022-05-09T08:38:36.484Z
149,500000.0,12,1652085597,3,Lắc Trầm Thần Tài,6000000.0,2022-05-09T08:40:33.759Z
6731,150000.0,56,1652085702,92,Vòng chỉ đỏ,8400000.0,2022-05-09T08:42:14.997Z
